Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3
Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²)
2.620,0.81,-0.05,-2.35,2.620,0.84,0.12,-2.51,2.620,0.69,-1.30,8.96
2.630,0.81,-0.11,-1.69,2.630,0.84,0.06,-12.86,2.630,0.67,-1.21,9.99
2.640,0.81,-0.08,0.63,2.640,0.84,-0.14,-11.29,2.640,0.66,-1.11,10.07
2.650,0.80,-0.09,-0.53,2.650,0.84,-0.16,14.27,2.650,0.65,-1.01,9.54
2.660,0.80,-0.09,0.10,2.660,0.84,0.15,15.03,2.660,0.64,-0.91,9.53
2.670,0.80,-0.09,-0.53,2.670,0.84,0.14,-13.75,2.670,0.63,-0.82,9.45
2.680,0.80,-0.11,0.10,2.680,0.84,-0.12,-13.72,2.680,0.63,-0.73,9.95
2.690,0.80,-0.09,-0.33,2.690,0.84,-0.14,-5.51,2.690,0.62,-0.62,10.02
2.700,0.80,-0.11,-1.06,2.700,0.84,-0.24,8.26,2.700,0.61,-0.52,9.50
2.710,0.80,-0.11,0.10,2.710,0.83,0.03,7.61,2.710,0.61,-0.43,9.49
2.720,0.80,-0.11,-0.33,2.720,0.84,-0.08,-18.17,2.720,0.60,-0.34,9.41
2.730,0.80,-0.12,-0.96,2.730,0.83,-0.33,2.42,2.730,0.60,-0.24,9.91
2.740,0.80,-0.13,-0.53,2.740,0.83,-0.03,12.49,2.740,0.60,-0.14,10.05
2.750,0.79,-0.13,0.10,2.750,0.83,-0.08,16.28,2.750,0.60,-0.04,8.96
2.760,0.79,-0.13,-0.43,2.760,0.83,0.29,-7.97,2.760,0.60,0.04,9.38
2.770,0.79,-0.14,-0.53,2.770,0.84,-0.24,45.46,2.770,0.60,0.15,9.95
2.780,0.79,-0.14,-0.10,2.780,0.83,1.20,-390.94,2.780,0.60,0.24,9.36
2.790,0.79,-0.14,0.63,2.790,0.86,-8.06,-520.26,2.790,0.60,0.33,9.94
2.800,0.79,-0.13,-0.53,2.800,0.66,-9.20,441.08,2.800,0.61,0.44,9.50
2.810,0.79,-0.15,-0.20,2.810,0.68,0.76,486.86,2.810,0.61,0.52,8.83
2.820,0.78,-0.13,-0.02,2.820,0.68,0.53,1.25,2.820,0.62,0.62,9.76
2.830,0.78,-0.15,4.24,2.830,0.69,0.78,14.12,2.830,0.63,0.72,10.33
2.840,0.78,-0.04,9.32,2.840,0.70,0.82,3.58,2.840,0.63,0.82,9.90
2.850,0.78,0.04,-2.89,2.850,0.70,0.86,-8.35,2.850,0.64,0.92,9.30
2.860,0.78,-0.10,-8.86,2.860,0.71,0.65,-18.81,2.860,0.65,1.01,9.80
2.870,0.78,-0.14,-6.14,2.870,0.72,0.48,-9.33,2.870,0.66,1.11,9.88
2.880,0.78,-0.22,-2.42,2.880,0.72,0.46,-5.38,2.880,0.67,1.21,9.36
2.890,0.78,-0.19,6.70,2.890,0.73,0.37,-16.67,2.890,0.69,1.30,9.35
2.900,0.78,-0.09,5.24,2.900,0.73,0.13,-17.98,2.900,0.70,1.39,9.25
2.910,0.77,-0.08,-8.42,2.910,0.73,0.01,2.58,2.910,0.71,1.49,9.67
2.920,0.77,-0.26,-2.71,2.920,0.73,0.18,-1.99,2.920,0.73,1.59,10.37
2.930,0.77,-0.14,14.83,2.930,0.73,-0.03,-19.47,2.930,0.75,1.69,9.41
2.940,0.77,0.04,1.02,2.940,0.73,-0.21,-9.41,2.940,0.76,1.78,8.69
2.950,0.77,-0.12,-8.33,2.950,0.73,-0.22,-6.78,2.950,0.78,1.87,9.73
2.960,0.77,-0.13,-0.43,2.960,0.72,-0.35,-8.85,2.960,0.80,1.97,9.71
2.970,0.77,-0.13,1.29,2.970,0.72,-0.39,-14.83,2.970,0.82,2.06,9.72
2.980,0.77,-0.10,-10.07,2.980,0.72,-0.64,-19.36,2.980,0.84,2.16,11.46
2.990,0.77,-0.33,-3.20,2.990,0.71,-0.78,-2.11,2.990,0.86,2.29,29.45
3.000,0.76,-0.17,20.38,3.000,0.70,-0.68,-0.93,3.000,0.89,2.75,-69.19
3.010,0.76,0.08,2.25,3.010,0.69,-0.80,-11.34,3.010,0.92,0.91,-223.51
3.020,0.76,-0.12,-9.55,3.020,0.69,-0.91,-8.25,3.020,0.91,-1.72,-147.73
3.030,0.76,-0.11,0.71,3.030,0.68,-0.96,-7.82,3.030,0.88,-2.05,-11.65
3.040,0.76,-0.11,-0.77,3.040,0.67,-1.07,-10.90,3.040,0.86,-1.95,9.08
3.050,0.76,-0.13,-1.39,3.050,0.65,-1.18,-7.68,3.050,0.85,-1.87,9.50
3.060,0.76,-0.14,-1.14,3.060,0.64,-1.22,-8.36,3.060,0.83,-1.76,10.34
3.070,0.75,-0.15,0.71,3.070,0.63,-1.35,-10.46,3.070,0.81,-1.66,8.63
3.080,0.75,-0.12,-0.48,3.080,0.62,-1.43,-11.39,3.080,0.79,-1.59,8.85
3.090,0.75,-0.16,-3.05,3.090,0.60,-1.58,-5.58,3.090,0.78,-1.48,10.64
3.100,0.75,-0.18,-0.53,3.100,0.58,-1.54,1.88,3.100,0.76,-1.37,9.58
3.110,0.75,-0.17,0.56,3.110,0.57,-1.54,-14.26,3.110,0.75,-1.29,9.47
3.120,0.75,-0.17,-2.58,3.120,0.55,-1.83,-19.48,3.120,0.74,-1.19,10.08
3.130,0.74,-0.22,-3.42,3.130,0.53,-1.93,-8.26,3.130,0.73,-1.09,9.46
3.140,0.74,-0.24,1.47,3.140,0.51,-1.99,-5.86,3.140,0.72,-1.00,9.97
3.150,0.74,-0.19,0.89,3.150,0.49,-2.05,-0.69,3.150,0.71,-0.89,10.05
3.160,0.74,-0.22,-2.18,3.160,0.47,-2.01,-119.43,3.160,0.70,-0.79,9.52
3.170,0.74,-0.24,0.25,3.170,0.45,-4.43,1026.38,3.170,0.69,-0.70,9.52
3.180,0.73,-0.22,1.48,3.180,0.39,18.52,1329.68,3.180,0.69,-0.60,9.51
3.190,0.73,-0.21,0.25,3.190,0.83,22.16,-923.90,3.190,0.68,-0.51,9.50
3.200,0.73,-0.21,1.02,3.200,0.83,0.04,-1113.86,3.200,0.68,-0.41,9.49
3.210,0.73,-0.19,,3.210,0.83,-0.12,-1.58,3.210,0.67,-0.32,9.40
3.220,0.73,,,3.220,0.83,0.01,3.29,3.220,0.67,-0.23,9.91
,,,,3.230,0.83,-0.05,-3.72,3.230,0.67,-0.12,10.07
,,,,3.240,0.83,-0.06,2.36,3.240,0.67,-0.03,8.95
,,,,3.250,0.82,0.00,1.81,3.250,0.67,0.06,9.37
,,,,3.260,0.83,-0.03,-1.48,3.260,0.67,0.16,9.96
,,,,3.270,0.82,-0.03,1.82,3.270,0.67,0.26,9.35
,,,,3.280,0.82,0.01,2.22,3.280,0.67,0.35,9.94
,,,,3.290,0.82,0.01,-3.09,3.290,0.68,0.46,9.51
,,,,3.300,0.82,-0.05,-1.46,3.300,0.68,0.54,8.81
,,,,3.310,0.82,-0.02,4.69,3.310,0.69,0.63,9.83
,,,,3.320,0.82,0.04,1.15,3.320,0.69,0.74,9.91
,,,,3.330,0.82,0.00,-3.20,3.330,0.70,0.83,9.39
,,,,3.340,0.82,-0.02,-0.31,3.340,0.71,0.92,9.38
,,,,3.350,0.82,0.00,1.50,3.350,0.72,1.02,9.28
,,,,3.360,0.82,0.01,0.53,3.360,0.73,1.11,9.79
,,,,3.370,0.82,0.01,-0.21,3.370,0.74,1.21,9.88
,,,,3.380,0.82,0.00,1.27,3.380,0.76,1.31,9.25
,,,,3.390,0.82,0.03,-0.65,3.390,0.77,1.40,9.77
,,,,3.400,0.83,-0.01,-3.58,3.400,0.78,1.50,9.86
,,,,3.410,0.82,-0.04,7.16,3.410,0.80,1.60,9.33
,,,,3.420,0.82,0.13,3.66,3.420,0.82,1.69,9.32
,,,,3.430,0.83,0.04,-10.77,3.430,0.83,1.78,9.31
,,,,3.440,0.83,-0.08,274.68,3.440,0.85,1.88,10.63
,,,,3.450,0.83,5.53,-1009.09,3.450,0.87,1.99,27.56
,,,,3.460,0.94,-20.26,-1544.08,3.460,0.89,2.43,-58.79
,,,,3.470,0.42,-25.35,1070.95,3.470,0.92,0.82,-196.54
,,,,3.480,0.43,1.16,1330.16,3.480,0.91,-1.50,-131.63
,,,,3.490,0.44,1.25,0.67,3.490,0.89,-1.81,-10.66
,,,,3.500,0.45,1.17,-1.55,3.500,0.87,-1.72,9.71
,,,,3.510,0.47,1.22,-1.80,3.510,0.85,-1.62,9.06
,,,,3.520,0.48,1.13,-8.09,3.520,0.84,-1.54,9.48
,,,,3.530,0.49,1.06,-7.97,3.530,0.82,-1.43,10.22
,,,,3.540,0.50,0.97,-9.92,3.540,0.81,-1.33,9.04
,,,,3.550,0.51,0.86,-3.31,3.550,0.80,-1.25,9.46
,,,,3.560,0.52,0.91,5.76,3.560,0.79,-1.14,10.18
,,,,3.570,0.53,0.97,-16.48,3.570,0.77,-1.05,9.02
,,,,3.580,0.54,0.58,-30.70,3.580,0.76,-0.96,9.44
,,,,3.590,0.54,0.36,-10.08,3.590,0.75,-0.86,10.06
,,,,3.600,0.54,0.38,-4.47,3.600,0.75,-0.76,9.43
,,,,3.610,0.55,0.27,-9.51,3.610,0.74,-0.67,10.03
,,,,3.620,0.55,0.19,-9.16,3.620,0.73,-0.56,9.51
,,,,3.630,0.55,0.09,-8.03,3.630,0.73,-0.48,9.40
,,,,3.640,0.55,0.03,-9.99,3.640,0.72,-0.37,10.01
,,,,3.650,0.55,-0.11,-3.08,3.650,0.72,-0.28,9.39
,,,,3.660,0.55,-0.04,-0.12,3.660,0.72,-0.19,9.99
,,,,3.670,0.55,-0.11,-17.14,3.670,0.72,-0.08,9.56
,,,,3.680,0.55,-0.38,-25.30,3.680,0.72,0.01,8.94
,,,,3.690,0.54,-0.62,-18.93,3.690,0.72,0.10,9.45
,,,,3.700,0.53,-0.76,-5.25,3.700,0.72,0.20,9.35
,,,,3.710,0.53,-0.72,10.40,3.710,0.72,0.29,9.86
,,,,3.720,0.52,-0.55,-4.45,3.720,0.72,0.39,10.04
,,,,3.730,0.52,-0.81,-23.51,3.730,0.73,0.49,8.90
,,,,3.740,0.50,-1.02,6.57,3.740,0.73,0.57,9.23
,,,,3.750,0.50,-0.68,-4.97,3.750,0.74,0.67,10.35
,,,,3.760,0.49,-1.12,-37.79,3.760,0.75,0.78,9.92
,,,,3.770,0.47,-1.44,-11.85,3.770,0.76,0.87,9.48
,,,,3.780,0.46,-1.36,-99.86,3.780,0.77,0.97,8.85
,,,,3.790,0.45,-3.44,1016.46,3.790,0.78,1.05,9.18
,,,,3.800,0.39,18.97,1258.96,3.800,0.79,1.15,10.42
,,,,3.810,0.83,21.74,-947.54,3.810,0.80,1.26,9.45
,,,,3.820,0.83,0.02,-1087.94,3.820,0.81,1.34,8.72
,,,,3.830,0.83,-0.01,-1.65,3.830,0.83,1.43,9.66
,,,,3.840,0.83,-0.01,7.60,3.840,0.84,1.53,10.29
,,,,3.850,0.83,0.14,6.55,3.850,0.86,1.64,10.52
,,,,3.860,0.83,0.12,-8.03,3.860,0.87,1.74,26.22
,,,,3.870,0.83,-0.02,-5.23,3.870,0.89,2.16,-43.18
,,,,3.880,0.83,0.02,-0.22,3.880,0.92,0.88,-168.82
,,,,3.890,0.83,-0.03,-2.12,3.890,0.91,-1.22,-125.12
,,,,3.900,0.83,-0.03,3.91,3.900,0.89,-1.62,-15.69
,,,,3.910,0.83,0.05,-4.33,3.910,0.88,-1.53,10.02
,,,,3.920,0.83,-0.11,-11.81,3.920,0.86,-1.42,10.22
,,,,3.930,0.83,-0.19,3.08,3.930,0.85,-1.32,9.03
,,,,3.940,0.83,-0.05,14.40,3.940,0.83,-1.24,9.45
,,,,3.950,0.82,0.10,2.17,3.950,0.82,-1.14,10.19
,,,,3.960,0.83,-0.01,-11.61,3.960,0.81,-1.04,9.01
,,,,3.970,0.82,-0.13,0.59,3.970,0.80,-0.96,9.43
,,,,3.980,0.82,0.00,8.21,3.980,0.79,-0.85,10.06
,,,,3.990,0.82,0.03,-0.24,3.990,0.78,-0.75,9.52
,,,,4.000,0.83,-3.53E-4,-4.47,4.000,0.78,-0.66,9.51
,,,,4.010,0.82,-0.06,0.55,4.010,0.77,-0.56,9.50
,,,,4.020,0.82,0.01,2.87,4.020,0.77,-0.47,9.50
,,,,4.030,0.82,0.00,-1.17,4.030,0.76,-0.37,9.49
,,,,4.040,0.82,-0.01,0.43,4.040,0.76,-0.28,9.48
,,,,4.050,0.82,0.01,0.74,4.050,0.76,-0.18,9.38
,,,,4.060,0.82,0.00,-1.07,4.060,0.76,-0.09,9.90
,,,,4.070,0.82,-0.01,-0.31,4.070,0.75,0.01,9.98
,,,,4.080,0.82,0.00,2.63,4.080,0.76,0.11,9.45
,,,,4.090,0.82,0.04,-4.09,4.090,0.76,0.20,9.44
,,,,4.100,0.82,-0.09,-7.22,4.100,0.76,0.30,9.34
,,,,4.110,0.82,-0.10,3.34,4.110,0.76,0.39,9.85
,,,,4.120,0.82,-0.02,4.70,4.120,0.77,0.49,10.04
,,,,4.130,0.82,-0.01,0.53,4.130,0.77,0.59,8.88
,,,,4.140,0.82,-0.01,-0.21,4.140,0.78,0.67,9.21
,,,,4.150,0.82,-0.01,0.96,4.150,0.79,0.77,10.45
,,,,4.160,0.82,0.01,0.64,4.160,0.79,0.88,9.58
,,,,4.170,0.82,0.00,-0.43,4.170,0.80,0.97,8.32
,,,,4.180,0.82,0.00,-0.53,4.180,0.81,1.05,9.17
,,,,4.190,0.82,-0.01,1.03E-5,4.190,0.82,1.15,10.43
,,,,4.200,0.82,0.00,0.10,4.200,0.84,1.26,9.35
,,,,4.210,0.82,-0.01,-0.84,4.210,0.85,1.34,9.14
,,,,4.220,0.82,-0.01,1.70,4.220,0.86,1.44,12.30
,,,,4.230,0.82,0.03,-0.12,4.230,0.88,1.58,21.88
,,,,4.240,0.82,-0.02,-2.54,4.240,0.90,1.88,-54.30
,,,,4.250,0.82,-0.03,2.03,4.250,0.92,0.50,-158.58
,,,,4.260,0.82,0.02,0.74,4.260,0.91,-1.30,-96.96
,,,,4.270,0.82,-0.01,-1.37,4.270,0.89,-1.44,-2.03
,,,,4.280,0.82,0.00,1.39,4.280,0.88,-1.34,10.22
,,,,4.290,0.82,0.02,1.37,4.290,0.86,-1.24,9.02
,,,,4.300,0.82,0.02,-1.19,4.300,0.85,-1.16,9.44
,,,,4.310,0.82,-0.01,-2.44,4.310,0.84,-1.05,10.08
,,,,4.320,0.82,-0.03,1.19,4.320,0.83,-0.95,9.44
,,,,4.330,0.82,0.02,2.54,4.330,0.82,-0.86,9.96
,,,,4.340,0.82,0.03,-1.82,4.340,0.81,-0.75,10.06
,,,,4.350,0.82,-0.02,-2.01,4.350,0.81,-0.66,9.51
,,,,4.360,0.82,-0.01,2.23,4.360,0.80,-0.56,9.50
,,,,4.370,0.82,0.03,-0.12,4.370,0.80,-0.47,9.50
,,,,4.380,0.82,-0.02,-2.44,4.380,0.79,-0.37,9.49
,,,,4.390,0.82,-0.02,1.60,4.390,0.79,-0.28,9.48
,,,,4.400,0.82,0.01,0.41,4.400,0.79,-0.19,9.38
,,,,4.410,0.82,-0.02,-2.44,4.410,0.78,-0.09,9.90
,,,,4.420,0.82,-0.03,1.29,4.420,0.78,0.01,9.99
,,,,4.430,0.82,0.01,2.11,4.430,0.78,0.11,9.45
,,,,4.440,0.82,0.01,-2.56,4.440,0.79,0.20,9.44
,,,,4.450,0.82,-0.04,-0.94,4.450,0.79,0.30,9.33
,,,,4.460,0.82,-0.01,2.13,4.460,0.79,0.39,9.85
,,,,4.470,0.82,0.00,5.33E-5,4.470,0.80,0.49,9.95
,,,,4.480,0.82,-0.01,1.03E-5,4.480,0.80,0.59,9.41
,,,,4.490,0.82,0.00,-0.10,4.490,0.81,0.68,9.30
,,,,4.500,0.82,-0.01,0.64,4.500,0.82,0.77,9.82
,,,,4.510,0.82,0.01,-0.12,4.510,0.82,0.88,10.02
,,,,4.520,0.82,-0.02,-2.44,4.520,0.83,0.97,8.84
,,,,4.530,0.82,-0.03,0.98,4.530,0.84,1.05,9.27
,,,,4.540,0.82,0.00,3.50,4.540,0.85,1.16,9.89
,,,,4.550,0.82,0.04,-0.98,4.550,0.87,1.25,9.80
,,,,4.560,0.82,-0.02,-3.71,4.560,0.88,1.36,22.74
,,,,4.570,0.82,-0.04,2.46,4.570,0.89,1.71,-30.29
,,,,4.580,0.82,0.03,1.68,4.580,0.91,0.75,-131.88
,,,,4.590,0.82,0.00,-3.50,4.590,0.91,-0.93,-102.25
,,,,4.600,0.82,-0.04,0.98,4.600,0.89,-1.30,-12.84
,,,,4.610,0.82,0.02,3.50,4.610,0.88,-1.19,9.67
,,,,4.620,0.82,0.03,-1.39,4.620,0.87,-1.10,9.11
,,,,4.630,0.82,-0.01,-1.17,4.630,0.86,-1.00,9.11
,,,,4.640,0.82,0.01,0.84,4.640,0.85,-0.92,8.89
,,,,4.650,0.82,0.00,-1.80,4.650,0.84,-0.83,10.06
,,,,4.660,0.82,-0.03,0.65,4.660,0.83,-0.72,9.52
,,,,4.670,0.82,0.02,2.44,4.670,0.83,-0.64,9.40
,,,,4.680,0.82,0.02,-1.08,4.680,0.82,-0.53,10.14
,,,,4.690,0.82,0.00,-2.97,4.690,0.82,-0.43,8.96
,,,,4.700,0.82,-0.04,1.08,4.700,0.81,-0.35,9.28
,,,,4.710,0.82,0.02,3.07,4.710,0.81,-0.25,10.44
,,,,4.720,0.82,0.03,-1.62,4.720,0.81,-0.14,10.00
,,,,4.730,0.82,-0.02,-2.97,4.730,0.81,-0.05,9.46
,,,,4.740,0.82,-0.03,0.98,4.740,0.81,0.05,9.45
,,,,4.750,0.82,0.00,3.50,4.750,0.81,0.14,9.35
,,,,4.760,0.82,0.04,-1.19,4.760,0.81,0.23,9.97
,,,,4.770,0.82,-0.02,-2.75,4.770,0.81,0.34,9.53
,,,,4.780,0.82,-0.02,2.99,4.780,0.82,0.42,8.79
,,,,4.790,0.82,0.04,1.68,4.790,0.82,0.52,9.84
,,,,4.800,0.82,0.01,-3.40,4.800,0.83,0.62,9.83
,,,,4.810,0.82,-0.03,0.86,4.810,0.83,0.71,9.83
,,,,4.820,0.82,0.03,1.68,4.820,0.84,0.82,9.92
,,,,4.830,0.82,0.01,-3.30,4.830,0.85,0.91,9.38
,,,,4.840,0.82,-0.03,0.12,4.840,0.86,1.01,9.38
,,,,4.850,0.82,0.01,2.44,4.850,0.87,1.10,9.70
,,,,4.860,0.82,0.01,-1.39,4.860,0.88,1.20,21.92
,,,,4.870,0.82,-0.02,-1.27,4.870,0.89,1.54,-27.00
,,,,4.880,0.82,-0.01,1.37,4.880,0.91,0.66,-119.19
,,,,4.890,0.82,0.01,-1.39,4.890,0.91,-0.85,-90.71
,,,,4.900,0.82,-0.04,-1.58,4.900,0.89,-1.15,-10.65
,,,,4.910,0.82,-0.02,2.46,4.910,0.88,-1.06,9.55
,,,,4.920,0.82,0.01,1.27,4.920,0.87,-0.96,9.54
,,,,4.930,0.82,0.00,-1.17,4.930,0.86,-0.87,9.53
,,,,4.940,0.82,-0.01,0.64,4.940,0.86,-0.77,9.52
,,,,4.950,0.82,0.01,-0.02,4.950,0.85,-0.68,9.51
,,,,4.960,0.82,-0.01,-3.07,4.960,0.84,-0.58,9.51
,,,,4.970,0.82,-0.05,1.51,4.970,0.84,-0.49,9.50
,,,,4.980,0.82,0.02,3.40,4.980,0.83,-0.39,9.59
,,,,4.990,0.82,0.02,-0.76,4.990,0.83,-0.30,9.05
,,,,5.000,0.82,0.00,-1.50,5.000,0.83,-0.21,8.84
,,,,5.010,0.82,-0.01,-0.53,5.010,0.83,-0.12,9.90
,,,,5.020,0.82,-0.01,-1.33,5.020,0.82,-0.01,10.10
,,,,5.030,0.82,-0.04,5.59,5.030,0.82,0.08,9.02
,,,,5.040,0.82,0.10,8.15,5.040,0.83,0.17,8.70
,,,,5.050,0.82,0.13,-5.16,5.050,0.83,0.26,10.40
,,,,5.060,0.82,0.00,-6.18,5.060,0.83,0.37,10.17
,,,,5.070,0.82,0.00,-1.17,5.070,0.84,0.46,8.25
,,,,5.080,0.82,-0.02,0.12,5.080,0.84,0.54,9.74
,,,,5.090,0.82,0.01,1.10,5.090,0.85,0.65,10.47
,,,,5.100,0.82,0.00,4.09,5.100,0.85,0.75,9.29
,,,,5.110,0.82,0.09,7.01,5.110,0.86,0.84,9.93
,,,,5.120,0.82,0.14,-1.76,5.120,0.87,0.95,9.49
,,,,5.130,0.82,0.05,-6.74,5.130,0.88,1.03,18.78
,,,,5.140,0.83,0.00,-3.73,5.140,0.89,1.32,-12.06
,,,,5.150,0.82,-0.02,-0.31,5.150,0.91,0.79,-93.91
,,,,5.160,0.82,0.00,1.70,5.160,0.91,-0.56,-92.43
,,,,5.170,0.82,0.01,-0.12,5.170,0.90,-1.06,-20.44
,,,,5.180,0.83,0.00,-2.24,5.180,0.89,-0.96,9.43
,,,,5.190,0.82,-0.03,0.12,5.190,0.88,-0.87,9.96
,,,,5.200,0.82,0.00,2.44,5.200,0.87,-0.77,10.06
,,,,5.210,0.82,0.02,-1.29,5.210,0.86,-0.67,9.41
,,,,5.220,0.82,-0.03,-1.70,5.220,0.85,-0.58,9.94
,,,,5.230,0.82,-0.02,0.84,5.230,0.85,-0.47,10.14
,,,,5.240,0.82,-0.01,-1.70,5.240,0.85,-0.37,8.95
,,,,5.250,0.82,-0.05,-0.09,5.250,0.84,-0.29,
,,,,5.260,0.82,-0.01,3.30,5.260,0.84,,
,,,,5.270,0.82,0.01,-0.12,,,,
,,,,5.280,0.82,-0.02,-2.23,,,,
,,,,5.290,0.82,-0.03,0.12,,,,
,,,,5.300,0.82,-0.01,3.16,,,,
,,,,5.310,0.82,0.03,-3.79,,,,
,,,,5.320,0.82,-0.09,-8.72,,,,
,,,,5.330,0.82,-0.14,2.60,,,,
,,,,5.340,0.82,-0.04,5.45,,,,
,,,,5.350,0.82,-0.03,1.93,,,,
,,,,5.360,0.82,0.00,-0.37,,,,
,,,,5.370,0.82,-0.04,7.26,,,,
,,,,5.380,0.82,0.15,3.93,,,,
,,,,5.390,0.82,0.04,-14.82,,,,
,,,,5.400,0.82,-0.15,-1.86,,,,
,,,,5.410,0.82,0.00,6.93,,,,
,,,,5.420,0.82,-0.01,-1.64,,,,
,,,,5.430,0.82,-0.03,6.88,,,,
,,,,5.440,0.82,0.13,11.60,,,,
,,,,5.450,0.82,0.20,-12.90,,,,
,,,,5.460,0.82,-0.13,-19.07,,,,
,,,,5.470,0.82,-0.18,13.41,,,,
,,,,5.480,0.82,0.14,15.06,,,,
,,,,5.490,0.82,0.12,-7.93,,,,
,,,,5.500,0.82,-0.02,-6.17,,,,
,,,,5.510,0.82,0.00,1.80,,,,
,,,,5.520,0.82,0.01,-0.96,,,,
,,,,5.530,0.82,-0.02,-2.38,,,,
,,,,5.540,0.82,-0.03,9.60,,,,
,,,,5.550,0.82,0.17,1.64,,,,
,,,,5.560,0.83,0.00,-10.08,,,,
,,,,5.570,0.82,-0.03,7.79,,,,
,,,,5.580,0.83,0.16,4.37,,,,
,,,,5.590,0.83,0.06,-16.74,,,,
,,,,5.600,0.83,-0.18,-5.21,,,,
,,,,5.610,0.82,-0.05,18.54,,,,
,,,,5.620,0.83,0.19,0.95,,,,
,,,,5.630,0.83,-0.03,-3.78,,,,
,,,,5.640,0.82,0.12,10.08,,,,
,,,,5.650,0.83,0.17,-4.59,,,,
,,,,5.660,0.83,0.02,-17.59,,,,
,,,,5.670,0.83,-0.18,-4.04,,,,
,,,,5.680,0.82,-0.06,21.00,,,,
,,,,5.690,0.83,0.24,0.39,,,,
,,,,5.700,0.83,-0.05,-9.74,,,,
,,,,5.710,0.83,0.05,11.52,,,,
,,,,5.720,0.83,0.18,5.12,,,,
,,,,5.730,0.83,0.15,-18.31,,,,
,,,,5.740,0.83,-0.18,-16.57,,,,
,,,,5.750,0.83,-0.18,19.83,,,,
,,,,5.760,0.83,0.21,-0.28,,,,
,,,,5.770,0.83,-0.19,-18.67,,,,
,,,,5.780,0.83,-0.16,17.44,,,,
,,,,5.790,0.83,0.16,13.22,,,,
,,,,5.800,0.83,0.10,-20.29,,,,
,,,,5.810,0.83,-0.25,-9.79,,,,
,,,,5.820,0.82,-0.09,20.34,,,,
,,,,5.830,0.83,0.16,16.15,,,,
,,,,5.840,0.83,0.23,-11.91,,,,
,,,,5.850,0.83,-0.08,-13.44,,,,
,,,,5.860,0.83,-0.04,2.68,,,,
,,,,5.870,0.83,-0.02,-14.77,,,,
,,,,5.880,0.83,-0.33,70.86,,,,
,,,,5.890,0.82,1.39,119.77,,,,
,,,,5.900,0.85,2.06,-85.87,,,,
,,,,5.910,0.87,-0.32,-119.03,,,,
,,,,5.920,0.85,-0.32,45.10,,,,
,,,,5.930,0.86,0.58,30.48,,,,
,,,,5.940,0.86,0.29,-114.19,,,,
,,,,5.950,0.87,-1.71,-13.11,,,,
,,,,5.960,0.82,0.03,114.00,,,,
,,,,5.970,0.87,0.57,-114.54,,,,
,,,,5.980,0.84,-2.26,-38.19,,,,
,,,,5.990,0.82,-0.19,108.47,,,,
,,,,6.000,0.83,-0.09,-94.01,,,,
,,,,6.010,0.82,-2.07,-19.89,,,,
,,,,6.020,0.79,-0.49,105.88,,,,
,,,,6.030,0.81,0.05,-31.25,,,,
,,,,6.040,0.79,-1.12,-14.69,,,,
,,,,6.050,0.79,-0.25,49.84,,,,
,,,,6.060,0.79,-0.12,4.55,,,,
,,,,6.070,0.78,-0.15,-6.12,,,,
,,,,6.080,0.78,-0.24,-7.45,,,,
,,,,6.090,0.78,-0.30,2.19,,,,
,,,,6.100,0.78,-0.20,5.19,,,,
,,,,6.110,0.78,-0.20,0.24,,,,
,,,,6.120,0.77,-0.19,1.68,,,,
,,,,6.130,0.77,-0.17,-0.33,,,,
,,,,6.140,0.77,-0.20,-1.34,,,,
,,,,6.150,0.77,-0.19,1.87,,,,
,,,,6.160,0.77,-0.16,-2.53,,,,
,,,,6.170,0.76,-0.24,3.44,,,,
,,,,6.180,0.76,-0.09,5.72,,,,
,,,,6.190,0.76,-0.13,17.34,,,,
,,,,6.200,0.76,0.25,37.60,,,,
,,,,6.210,0.77,0.62,-7.86,,,,
,,,,6.220,0.77,0.10,-43.56,,,,
,,,,6.230,0.77,-0.25,-13.01,,,,
,,,,6.240,0.77,-0.16,-24.27,,,,
,,,,6.250,0.77,-0.73,65.95,,,,
,,,,6.260,0.75,1.15,136.79,,,,
,,,,6.270,0.79,2.00,-191.66,,,,
,,,,6.280,0.79,-2.68,-246.48,,,,
,,,,6.290,0.74,-2.93,147.82,,,,
,,,,6.300,0.73,0.28,152.11,,,,
,,,,6.310,0.74,0.11,-23.89,,,,
,,,,6.320,0.74,-0.20,2.01,,,,
,,,,6.330,0.74,0.15,5.97,,,,
,,,,6.340,0.74,-0.08,-24.12,,,,
,,,,6.350,0.74,-0.33,-32.58,,,,
,,,,6.360,0.73,-0.73,-27.24,,,,
,,,,6.370,0.72,-0.87,-24.60,,,,
,,,,6.380,0.71,-1.22,-19.89,,,,
,,,,6.390,0.70,-1.27,25.03,,,,
,,,,6.400,0.69,-0.72,36.35,,,,
,,,,6.410,0.68,-0.54,1.39,,,,
,,,,6.420,0.68,-0.70,-8.28,,,,
,,,,6.430,0.67,-0.71,0.16,,,,
,,,,6.440,0.66,-0.69,-1.51,,,,
,,,,6.450,0.65,-0.74,1.45,,,,
,,,,6.460,0.65,-0.66,9.45,,,,
